what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mtj.core,1.0.0.v200906121354,"org.eclipse.mtj.core",1250033843944
stopped,bundle,org.eclipse.pde.api.tools,1.0.100.v20090526,"org.eclipse.pde.api.tools",1250033843945
stopped,bundle,org.eclipse.pde.ds.core,1.0.0.v20090429-1800,"org.eclipse.pde.ds.core",1250033843945
stopped,bundle,org.eclipse.pde.ua.core,1.0.0.v20090429-1800,"org.eclipse.pde.ua.core",1250033843945
stopped,bundle,org.eclipse.pde.core,3.5.0.v20090602,"org.eclipse.pde.core",1250033843945
stopped,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1250033843945
stopped,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1250033843945
stopped,bundle,org.eclipse.jdt.core,3.5.0.v_963,"org.eclipse.jdt.core",1250033844048
stopped,bundle,org.eclipse.mtj.core.hooks,1.0.0.v200906121354,"org.eclipse.mtj.core.hooks",1250033844048
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1250033844048
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1250033844048
stopped,bundle,org.eclipse.mylyn.ide.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.ide.ui",1250033844048
stopped,bundle,org.eclipse.mylyn.team.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.team.ui",1250033844048
stopped,bundle,org.eclipse.mylyn.resources.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.resources.ui",1250033844048
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.1.0.v20090617-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1250033844048
stopped,bundle,org.eclipse.mylyn.context.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.context.ui",1250033844049
stopped,bundle,org.eclipse.mylyn.help.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.help.ui",1250033844049
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1250033844049
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.2.0.v20090617-0100-e3x,"org.eclipse.mylyn.tasks.ui",1250033844049
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1250033844049
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.203.v200904300717,"org.eclipse.wst.xsd.ui",1250033844049
stopped,bundle,org.eclipse.wst.xml.ui,1.1.0.v200905242047,"org.eclipse.wst.xml.ui",1250033844049
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1250033844049
stopped,bundle,org.eclipse.wst.sse.ui,1.1.100.v200905141750,"org.eclipse.wst.sse.ui",1250033844056
stopped,bundle,org.eclipse.search,3.5.0.v20090526-2000,"org.eclipse.search",1250033844102
