what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1251029284244
started,bundle,org.eclipse.team.cvs.ui,3.3.200.I20090521-1750,"org.eclipse.team.cvs.ui",1251029284245
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1251029284247
started,bundle,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui",1251029284406
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1251029284408
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1251029284408
started,bundle,org.eclipse.ui.forms,3.4.0.v20090526,"org.eclipse.ui.forms",1251029284424
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1251029284427
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1251029284428
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1251029284429
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090527,"org.eclipse.ui.views.log",1251029284430
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1251029284430
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1251029284432
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1251029284436
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1251029284437
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1251029284438
started,bundle,com.android.ide.eclipse.adt,0.9.1.v200905011822-1621,"com.android.ide.eclipse.adt",1251029284438
started,bundle,com.android.ide.eclipse.ddms,0.9.1.v200905011822-1621,"com.android.ide.eclipse.ddms",1251029284438
os,sysinfo,,,"win32",1251029284446
arch,sysinfo,,,"x86",1251029284446
ws,sysinfo,,,"win32",1251029284446
locale,sysinfo,,,"es_ES",1251029284446
processors,sysinfo,,,"2",1251029284446
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1251029284446
java.runtime.version,sysinfo,,,"1.6.0_13-b03",1251029284446
